agency_cd,site_no,datetime,tz_cd,discharge
USGS,5357206,6/6/2015 8:30,CDT,4.1
USGS,5357206,6/6/2015 8:45,CDT,4.1
USGS,5357206,6/6/2015 9:00,CDT,3.9
USGS,5357206,6/6/2015 9:15,CDT,3.9
USGS,5357206,6/6/2015 9:30,CDT,3.9
USGS,5357206,6/6/2015 9:45,CDT,4.1
USGS,5357206,6/6/2015 10:00,CDT,3.9
USGS,5357206,6/6/2015 10:15,CDT,4.1
USGS,5357206,6/6/2015 10:30,CDT,3.9
USGS,5357206,6/6/2015 10:45,CDT,3.9
USGS,5357206,6/6/2015 11:00,CDT,4.1
USGS,5357206,6/6/2015 11:15,CDT,4.1
USGS,5357206,6/6/2015 11:30,CDT,3.9
USGS,5357206,6/6/2015 11:45,CDT,3.9
USGS,5357206,6/6/2015 12:00,CDT,3.9
USGS,5357206,6/6/2015 12:15,CDT,3.9
USGS,5357206,6/6/2015 12:30,CDT,3.9
USGS,5357206,6/6/2015 12:45,CDT,3.9
USGS,5357206,6/6/2015 13:00,CDT,3.9
USGS,5357206,6/6/2015 13:15,CDT,3.9
USGS,5357206,6/6/2015 13:30,CDT,3.9
USGS,5357206,6/6/2015 13:45,CDT,3.9
USGS,5357206,6/6/2015 14:00,CDT,3.9
USGS,5357206,6/6/2015 14:15,CDT,3.9
USGS,5357206,6/6/2015 14:30,CDT,3.9
USGS,5357206,6/6/2015 14:45,CDT,3.8
USGS,5357206,6/6/2015 15:00,CDT,3.8
USGS,5357206,6/6/2015 15:15,CDT,3.8
USGS,5357206,6/6/2015 15:30,CDT,3.8
USGS,5357206,6/6/2015 15:45,CDT,3.8
USGS,5357206,6/6/2015 16:00,CDT,3.9
USGS,5357206,6/6/2015 16:15,CDT,3.8
USGS,5357206,6/6/2015 16:30,CDT,3.9
USGS,5357206,6/6/2015 16:45,CDT,3.9
USGS,5357206,6/6/2015 17:00,CDT,3.9
USGS,5357206,6/6/2015 17:15,CDT,3.9
USGS,5357206,6/6/2015 17:30,CDT,3.9
USGS,5357206,6/6/2015 17:45,CDT,3.9
USGS,5357206,6/6/2015 18:00,CDT,3.9
USGS,5357206,6/6/2015 18:15,CDT,3.9
USGS,5357206,6/6/2015 18:30,CDT,3.9
USGS,5357206,6/6/2015 18:45,CDT,3.9
USGS,5357206,6/6/2015 19:00,CDT,3.9
USGS,5357206,6/6/2015 19:15,CDT,3.9
USGS,5357206,6/6/2015 19:30,CDT,3.9
USGS,5357206,6/6/2015 19:45,CDT,3.9
USGS,5357206,6/6/2015 20:00,CDT,3.8
USGS,5357206,6/6/2015 20:15,CDT,3.8
USGS,5357206,6/6/2015 20:30,CDT,3.8
USGS,5357206,6/6/2015 20:45,CDT,3.8
USGS,5357206,6/6/2015 21:00,CDT,3.9
USGS,5357206,6/6/2015 21:15,CDT,3.8
USGS,5357206,6/6/2015 21:30,CDT,3.8
USGS,5357206,6/6/2015 21:45,CDT,3.8
USGS,5357206,6/6/2015 22:00,CDT,3.8
USGS,5357206,6/6/2015 22:15,CDT,3.8
USGS,5357206,6/6/2015 22:30,CDT,3.8
USGS,5357206,6/6/2015 22:45,CDT,3.8
USGS,5357206,6/6/2015 23:00,CDT,3.8
USGS,5357206,6/6/2015 23:15,CDT,3.8
USGS,5357206,6/6/2015 23:30,CDT,3.8
USGS,5357206,6/6/2015 23:45,CDT,3.8
USGS,5357206,6/7/2015 0:00,CDT,3.8
USGS,5357206,6/7/2015 0:15,CDT,3.8
USGS,5357206,6/7/2015 0:30,CDT,3.8
USGS,5357206,6/7/2015 0:45,CDT,3.8
USGS,5357206,6/7/2015 1:00,CDT,3.9
USGS,5357206,6/7/2015 1:15,CDT,3.9
USGS,5357206,6/7/2015 1:30,CDT,3.9
USGS,5357206,6/7/2015 1:45,CDT,3.9
USGS,5357206,6/7/2015 2:00,CDT,3.9
USGS,5357206,6/7/2015 2:15,CDT,4.1
USGS,5357206,6/7/2015 2:30,CDT,4.1
USGS,5357206,6/7/2015 2:45,CDT,4.3
USGS,5357206,6/7/2015 3:00,CDT,4.1
USGS,5357206,6/7/2015 3:15,CDT,4.3
USGS,5357206,6/7/2015 3:30,CDT,4.4
USGS,5357206,6/7/2015 3:45,CDT,4.4
USGS,5357206,6/7/2015 4:00,CDT,4.6
USGS,5357206,6/7/2015 4:15,CDT,4.6
USGS,5357206,6/7/2015 4:30,CDT,4.6
USGS,5357206,6/7/2015 4:45,CDT,4.8
USGS,5357206,6/7/2015 5:00,CDT,4.9
USGS,5357206,6/7/2015 5:15,CDT,4.9
USGS,5357206,6/7/2015 5:30,CDT,5.1
USGS,5357206,6/7/2015 5:45,CDT,5.1
USGS,5357206,6/7/2015 6:00,CDT,5.3
USGS,5357206,6/7/2015 6:15,CDT,5.3
USGS,5357206,6/7/2015 6:30,CDT,5.3
USGS,5357206,6/7/2015 6:45,CDT,5.5
USGS,5357206,6/7/2015 7:00,CDT,5.6
USGS,5357206,6/7/2015 7:15,CDT,5.6
USGS,5357206,6/7/2015 7:30,CDT,5.6
USGS,5357206,6/7/2015 7:45,CDT,5.6
USGS,5357206,6/7/2015 8:00,CDT,5.8
USGS,5357206,6/7/2015 8:15,CDT,5.8
USGS,5357206,6/7/2015 8:30,CDT,6
USGS,5357206,6/7/2015 8:45,CDT,6
USGS,5357206,6/7/2015 9:00,CDT,6.2
USGS,5357206,6/7/2015 9:15,CDT,6.2
USGS,5357206,6/7/2015 9:30,CDT,6.4
USGS,5357206,6/7/2015 9:45,CDT,6.4
USGS,5357206,6/7/2015 10:00,CDT,6.4
USGS,5357206,6/7/2015 10:15,CDT,6.4
USGS,5357206,6/7/2015 10:30,CDT,6.6
USGS,5357206,6/7/2015 10:45,CDT,6.6
USGS,5357206,6/7/2015 11:00,CDT,6.6
USGS,5357206,6/7/2015 11:15,CDT,6.6
USGS,5357206,6/7/2015 11:30,CDT,6.6
USGS,5357206,6/7/2015 11:45,CDT,6.7
USGS,5357206,6/7/2015 12:00,CDT,6.6
USGS,5357206,6/7/2015 12:15,CDT,6.6
USGS,5357206,6/7/2015 12:30,CDT,6.6
USGS,5357206,6/7/2015 12:45,CDT,6.7
USGS,5357206,6/7/2015 13:00,CDT,6.7
USGS,5357206,6/7/2015 13:15,CDT,6.6
USGS,5357206,6/7/2015 13:30,CDT,6.6
USGS,5357206,6/7/2015 13:45,CDT,6.7
USGS,5357206,6/7/2015 14:00,CDT,6.6
USGS,5357206,6/7/2015 14:15,CDT,6.7
USGS,5357206,6/7/2015 14:30,CDT,6.6
USGS,5357206,6/7/2015 14:45,CDT,6.6
USGS,5357206,6/7/2015 15:00,CDT,6.7
USGS,5357206,6/7/2015 15:15,CDT,6.6
USGS,5357206,6/7/2015 15:30,CDT,6.6
USGS,5357206,6/7/2015 15:45,CDT,6.6
USGS,5357206,6/7/2015 16:00,CDT,6.4
USGS,5357206,6/7/2015 16:15,CDT,6.4
USGS,5357206,6/7/2015 16:30,CDT,6.4
USGS,5357206,6/7/2015 16:45,CDT,6.4
USGS,5357206,6/7/2015 17:00,CDT,6.4
USGS,5357206,6/7/2015 17:15,CDT,6.4
USGS,5357206,6/7/2015 17:30,CDT,6.4
USGS,5357206,6/7/2015 17:45,CDT,6.4
USGS,5357206,6/7/2015 18:00,CDT,6.2
USGS,5357206,6/7/2015 18:15,CDT,6.2
USGS,5357206,6/7/2015 18:30,CDT,6
USGS,5357206,6/7/2015 18:45,CDT,6.2
USGS,5357206,6/7/2015 19:00,CDT,6.2
USGS,5357206,6/7/2015 19:15,CDT,6
USGS,5357206,6/7/2015 19:30,CDT,6
USGS,5357206,6/7/2015 19:45,CDT,6
USGS,5357206,6/7/2015 20:00,CDT,6
USGS,5357206,6/7/2015 20:15,CDT,6
USGS,5357206,6/7/2015 20:30,CDT,6
USGS,5357206,6/7/2015 20:45,CDT,6
USGS,5357206,6/7/2015 21:00,CDT,6
USGS,5357206,6/7/2015 21:15,CDT,5.8
USGS,5357206,6/7/2015 21:30,CDT,5.8
USGS,5357206,6/7/2015 21:45,CDT,5.8
USGS,5357206,6/7/2015 22:00,CDT,5.8
USGS,5357206,6/7/2015 22:15,CDT,5.8
USGS,5357206,6/7/2015 22:30,CDT,5.6
USGS,5357206,6/7/2015 22:45,CDT,5.8
USGS,5357206,6/7/2015 23:00,CDT,5.6
USGS,5357206,6/7/2015 23:15,CDT,5.6
USGS,5357206,6/7/2015 23:30,CDT,5.6
USGS,5357206,6/7/2015 23:45,CDT,5.6
USGS,5357206,6/8/2015 0:00,CDT,5.6
USGS,5357206,6/8/2015 0:15,CDT,5.6
USGS,5357206,6/8/2015 0:30,CDT,5.6
USGS,5357206,6/8/2015 0:45,CDT,5.6
USGS,5357206,6/8/2015 1:00,CDT,5.5
USGS,5357206,6/8/2015 1:15,CDT,5.5
USGS,5357206,6/8/2015 1:30,CDT,5.5
USGS,5357206,6/8/2015 1:45,CDT,5.5
USGS,5357206,6/8/2015 2:00,CDT,5.5
USGS,5357206,6/8/2015 2:15,CDT,5.3
USGS,5357206,6/8/2015 2:30,CDT,5.3
USGS,5357206,6/8/2015 2:45,CDT,5.3
USGS,5357206,6/8/2015 3:00,CDT,5.3
USGS,5357206,6/8/2015 3:15,CDT,5.3
USGS,5357206,6/8/2015 3:30,CDT,5.3
USGS,5357206,6/8/2015 3:45,CDT,5.3
USGS,5357206,6/8/2015 4:00,CDT,5.1
USGS,5357206,6/8/2015 4:15,CDT,5.1
USGS,5357206,6/8/2015 4:30,CDT,5.1
USGS,5357206,6/8/2015 4:45,CDT,5.1
USGS,5357206,6/8/2015 5:00,CDT,5.1
USGS,5357206,6/8/2015 5:15,CDT,5.1
USGS,5357206,6/8/2015 5:30,CDT,5.1
USGS,5357206,6/8/2015 5:45,CDT,5.1
USGS,5357206,6/8/2015 6:00,CDT,5.1
USGS,5357206,6/8/2015 6:15,CDT,5.1
USGS,5357206,6/8/2015 6:30,CDT,5.1
USGS,5357206,6/8/2015 6:45,CDT,5.1
USGS,5357206,6/8/2015 7:00,CDT,5.1
USGS,5357206,6/8/2015 7:15,CDT,5.1
USGS,5357206,6/8/2015 7:30,CDT,5.1
USGS,5357206,6/8/2015 7:45,CDT,4.9
USGS,5357206,6/8/2015 8:00,CDT,4.9
USGS,5357206,6/8/2015 8:15,CDT,4.9
USGS,5357206,6/8/2015 8:30,CDT,5.1
USGS,5357206,6/8/2015 8:45,CDT,4.9
USGS,5357206,6/8/2015 9:00,CDT,4.9
USGS,5357206,6/8/2015 9:15,CDT,4.9
USGS,5357206,6/8/2015 9:30,CDT,4.9
USGS,5357206,6/8/2015 9:45,CDT,4.9
USGS,5357206,6/8/2015 10:00,CDT,4.9
USGS,5357206,6/8/2015 10:15,CDT,4.9
USGS,5357206,6/8/2015 10:30,CDT,4.9
USGS,5357206,6/8/2015 10:45,CDT,4.8
USGS,5357206,6/8/2015 11:00,CDT,4.9
USGS,5357206,6/8/2015 11:15,CDT,4.8
USGS,5357206,6/8/2015 11:30,CDT,4.8
USGS,5357206,6/8/2015 11:45,CDT,4.8
USGS,5357206,6/8/2015 12:00,CDT,4.8
USGS,5357206,6/8/2015 12:15,CDT,4.8
USGS,5357206,6/8/2015 12:30,CDT,4.8
USGS,5357206,6/8/2015 12:45,CDT,4.8
USGS,5357206,6/8/2015 13:00,CDT,4.8
USGS,5357206,6/8/2015 13:15,CDT,4.8
USGS,5357206,6/8/2015 13:30,CDT,4.8
USGS,5357206,6/8/2015 13:45,CDT,4.8
USGS,5357206,6/8/2015 14:00,CDT,4.8
USGS,5357206,6/8/2015 14:15,CDT,4.8
USGS,5357206,6/8/2015 14:30,CDT,4.6
USGS,5357206,6/8/2015 14:45,CDT,4.6
USGS,5357206,6/8/2015 15:00,CDT,4.6
USGS,5357206,6/8/2015 15:15,CDT,4.6
USGS,5357206,6/8/2015 15:30,CDT,4.6
USGS,5357206,6/8/2015 15:45,CDT,4.6
USGS,5357206,6/8/2015 16:00,CDT,4.6
USGS,5357206,6/8/2015 16:15,CDT,4.6
USGS,5357206,6/8/2015 16:30,CDT,4.6
USGS,5357206,6/8/2015 16:45,CDT,4.6
USGS,5357206,6/8/2015 17:00,CDT,4.6
USGS,5357206,6/8/2015 17:15,CDT,4.6
USGS,5357206,6/8/2015 17:30,CDT,4.6
USGS,5357206,6/8/2015 17:45,CDT,4.6
USGS,5357206,6/8/2015 18:00,CDT,4.6
USGS,5357206,6/8/2015 18:15,CDT,4.6
USGS,5357206,6/8/2015 18:30,CDT,4.6
USGS,5357206,6/8/2015 18:45,CDT,4.6
USGS,5357206,6/8/2015 19:00,CDT,4.4
USGS,5357206,6/8/2015 19:15,CDT,4.6
USGS,5357206,6/8/2015 19:30,CDT,4.4
USGS,5357206,6/8/2015 19:45,CDT,4.4
USGS,5357206,6/8/2015 20:00,CDT,4.4
USGS,5357206,6/8/2015 20:15,CDT,4.4
USGS,5357206,6/8/2015 20:30,CDT,4.4
USGS,5357206,6/8/2015 20:45,CDT,4.4
USGS,5357206,6/8/2015 21:00,CDT,4.4
USGS,5357206,6/8/2015 21:15,CDT,4.4
USGS,5357206,6/8/2015 21:30,CDT,4.4
USGS,5357206,6/8/2015 21:45,CDT,4.3
USGS,5357206,6/8/2015 22:00,CDT,4.3
USGS,5357206,6/8/2015 22:15,CDT,4.3
USGS,5357206,6/8/2015 22:30,CDT,4.3
USGS,5357206,6/8/2015 22:45,CDT,4.3
USGS,5357206,6/8/2015 23:00,CDT,4.3
USGS,5357206,6/8/2015 23:15,CDT,4.3
USGS,5357206,6/8/2015 23:30,CDT,4.3
USGS,5357206,6/8/2015 23:45,CDT,4.3
USGS,5357206,6/9/2015 0:00,CDT,4.3
USGS,5357206,6/9/2015 0:15,CDT,4.3
USGS,5357206,6/9/2015 0:30,CDT,4.3
USGS,5357206,6/9/2015 0:45,CDT,4.1
USGS,5357206,6/9/2015 1:00,CDT,4.1
USGS,5357206,6/9/2015 1:15,CDT,4.3
USGS,5357206,6/9/2015 1:30,CDT,4.3
USGS,5357206,6/9/2015 1:45,CDT,4.1
USGS,5357206,6/9/2015 2:00,CDT,4.1
USGS,5357206,6/9/2015 2:15,CDT,4.1
USGS,5357206,6/9/2015 2:30,CDT,4.1
USGS,5357206,6/9/2015 2:45,CDT,4.1
USGS,5357206,6/9/2015 3:00,CDT,4.1
USGS,5357206,6/9/2015 3:15,CDT,4.3
USGS,5357206,6/9/2015 3:30,CDT,4.1
USGS,5357206,6/9/2015 3:45,CDT,4.1
USGS,5357206,6/9/2015 4:00,CDT,4.1
USGS,5357206,6/9/2015 4:15,CDT,4.1
USGS,5357206,6/9/2015 4:30,CDT,4.1
USGS,5357206,6/9/2015 4:45,CDT,3.9
USGS,5357206,6/9/2015 5:00,CDT,3.9
USGS,5357206,6/9/2015 5:15,CDT,3.9
USGS,5357206,6/9/2015 5:30,CDT,3.9
USGS,5357206,6/9/2015 5:45,CDT,3.9
USGS,5357206,6/9/2015 6:00,CDT,3.9
USGS,5357206,6/9/2015 6:15,CDT,3.9
USGS,5357206,6/9/2015 6:30,CDT,3.9
USGS,5357206,6/9/2015 6:45,CDT,3.9
USGS,5357206,6/9/2015 7:00,CDT,3.9
USGS,5357206,6/9/2015 7:15,CDT,3.9
USGS,5357206,6/9/2015 7:30,CDT,3.9
USGS,5357206,6/9/2015 7:45,CDT,3.9
USGS,5357206,6/9/2015 8:00,CDT,3.9
USGS,5357206,6/9/2015 8:15,CDT,3.9
USGS,5357206,6/9/2015 8:30,CDT,3.9
USGS,5357206,6/9/2015 8:45,CDT,3.9
USGS,5357206,6/9/2015 9:00,CDT,3.9
USGS,5357206,6/9/2015 9:15,CDT,3.9
USGS,5357206,6/9/2015 9:30,CDT,3.9
USGS,5357206,6/9/2015 9:45,CDT,3.9
USGS,5357206,6/9/2015 10:00,CDT,3.9
USGS,5357206,6/9/2015 10:15,CDT,3.9
USGS,5357206,6/9/2015 10:30,CDT,3.9
USGS,5357206,6/9/2015 10:45,CDT,3.9
USGS,5357206,6/9/2015 11:00,CDT,3.9
USGS,5357206,6/9/2015 11:15,CDT,3.9
USGS,5357206,6/9/2015 11:30,CDT,3.9
USGS,5357206,6/9/2015 11:45,CDT,3.9
USGS,5357206,6/9/2015 12:00,CDT,3.9
USGS,5357206,6/9/2015 12:15,CDT,3.9
USGS,5357206,6/9/2015 12:30,CDT,3.9
USGS,5357206,6/9/2015 12:45,CDT,3.9
USGS,5357206,6/9/2015 13:00,CDT,3.9
USGS,5357206,6/9/2015 13:15,CDT,3.9
USGS,5357206,6/9/2015 13:30,CDT,3.9
USGS,5357206,6/9/2015 13:45,CDT,3.9
USGS,5357206,6/9/2015 14:00,CDT,3.9
USGS,5357206,6/9/2015 14:15,CDT,3.9
USGS,5357206,6/9/2015 14:30,CDT,3.9
USGS,5357206,6/9/2015 14:45,CDT,3.9
USGS,5357206,6/9/2015 15:00,CDT,3.9
USGS,5357206,6/9/2015 15:15,CDT,3.9
USGS,5357206,6/9/2015 15:30,CDT,3.9
USGS,5357206,6/9/2015 15:45,CDT,3.9
USGS,5357206,6/9/2015 16:00,CDT,3.9
USGS,5357206,6/9/2015 16:15,CDT,3.9
USGS,5357206,6/9/2015 16:30,CDT,3.9
USGS,5357206,6/9/2015 16:45,CDT,3.9
USGS,5357206,6/9/2015 17:00,CDT,3.9
USGS,5357206,6/9/2015 17:15,CDT,3.9
USGS,5357206,6/9/2015 17:30,CDT,3.9
USGS,5357206,6/9/2015 17:45,CDT,3.8
USGS,5357206,6/9/2015 18:00,CDT,3.8
USGS,5357206,6/9/2015 18:15,CDT,3.8
USGS,5357206,6/9/2015 18:30,CDT,3.8
USGS,5357206,6/9/2015 18:45,CDT,3.8
USGS,5357206,6/9/2015 19:00,CDT,3.8
USGS,5357206,6/9/2015 19:15,CDT,3.8
USGS,5357206,6/9/2015 19:30,CDT,3.8
USGS,5357206,6/9/2015 19:45,CDT,3.8
USGS,5357206,6/9/2015 20:00,CDT,3.8
USGS,5357206,6/9/2015 20:15,CDT,3.6
USGS,5357206,6/9/2015 20:30,CDT,3.8
USGS,5357206,6/9/2015 20:45,CDT,3.8
USGS,5357206,6/9/2015 21:00,CDT,3.6
USGS,5357206,6/9/2015 21:15,CDT,3.6
USGS,5357206,6/9/2015 21:30,CDT,3.6
USGS,5357206,6/9/2015 21:45,CDT,3.8
USGS,5357206,6/9/2015 22:00,CDT,3.8
USGS,5357206,6/9/2015 22:15,CDT,3.6
USGS,5357206,6/9/2015 22:30,CDT,3.6
USGS,5357206,6/9/2015 22:45,CDT,3.6
USGS,5357206,6/9/2015 23:00,CDT,3.6
USGS,5357206,6/9/2015 23:15,CDT,3.6
USGS,5357206,6/9/2015 23:30,CDT,3.6
USGS,5357206,6/9/2015 23:45,CDT,3.6
USGS,5357206,6/10/2015 0:00,CDT,3.6
USGS,5357206,6/10/2015 0:15,CDT,3.6
USGS,5357206,6/10/2015 0:30,CDT,3.6
USGS,5357206,6/10/2015 0:45,CDT,3.8
USGS,5357206,6/10/2015 1:00,CDT,4.1
USGS,5357206,6/10/2015 1:15,CDT,4.4
USGS,5357206,6/10/2015 1:30,CDT,4.4
USGS,5357206,6/10/2015 1:45,CDT,4.4
USGS,5357206,6/10/2015 2:00,CDT,4.6
USGS,5357206,6/10/2015 2:15,CDT,4.6
USGS,5357206,6/10/2015 2:30,CDT,4.8
USGS,5357206,6/10/2015 2:45,CDT,4.8
USGS,5357206,6/10/2015 3:00,CDT,4.9
USGS,5357206,6/10/2015 3:15,CDT,5.1
USGS,5357206,6/10/2015 3:30,CDT,5.1
USGS,5357206,6/10/2015 3:45,CDT,5.3
USGS,5357206,6/10/2015 4:00,CDT,5.5
USGS,5357206,6/10/2015 4:15,CDT,5.5
USGS,5357206,6/10/2015 4:30,CDT,5.5
USGS,5357206,6/10/2015 4:45,CDT,5.6
USGS,5357206,6/10/2015 5:00,CDT,5.6
USGS,5357206,6/10/2015 5:15,CDT,5.6
USGS,5357206,6/10/2015 5:30,CDT,5.6
USGS,5357206,6/10/2015 5:45,CDT,5.8
USGS,5357206,6/10/2015 6:00,CDT,5.8
USGS,5357206,6/10/2015 6:15,CDT,5.8
USGS,5357206,6/10/2015 6:30,CDT,5.8
USGS,5357206,6/10/2015 6:45,CDT,5.8
USGS,5357206,6/10/2015 7:00,CDT,5.8
USGS,5357206,6/10/2015 7:15,CDT,5.8
USGS,5357206,6/10/2015 7:30,CDT,5.8
USGS,5357206,6/10/2015 7:45,CDT,5.8
USGS,5357206,6/10/2015 8:00,CDT,5.8
USGS,5357206,6/10/2015 8:15,CDT,5.8
USGS,5357206,6/10/2015 8:30,CDT,5.8
USGS,5357206,6/10/2015 8:45,CDT,5.8
USGS,5357206,6/10/2015 9:00,CDT,5.8
USGS,5357206,6/10/2015 9:15,CDT,5.8
USGS,5357206,6/10/2015 9:30,CDT,5.8
USGS,5357206,6/10/2015 9:45,CDT,5.8
USGS,5357206,6/10/2015 10:00,CDT,5.8
USGS,5357206,6/10/2015 10:15,CDT,5.8
USGS,5357206,6/10/2015 10:30,CDT,5.8
USGS,5357206,6/10/2015 10:45,CDT,5.8
USGS,5357206,6/10/2015 11:00,CDT,5.6
USGS,5357206,6/10/2015 11:15,CDT,5.6
USGS,5357206,6/10/2015 11:30,CDT,5.6
USGS,5357206,6/10/2015 11:45,CDT,5.6
USGS,5357206,6/10/2015 12:00,CDT,5.6
USGS,5357206,6/10/2015 12:15,CDT,5.6
USGS,5357206,6/10/2015 12:30,CDT,5.6
USGS,5357206,6/10/2015 12:45,CDT,5.5
USGS,5357206,6/10/2015 13:00,CDT,5.5
USGS,5357206,6/10/2015 13:15,CDT,5.5
USGS,5357206,6/10/2015 13:30,CDT,5.5
USGS,5357206,6/10/2015 13:45,CDT,5.5
USGS,5357206,6/10/2015 14:00,CDT,5.3
USGS,5357206,6/10/2015 14:15,CDT,5.3
USGS,5357206,6/10/2015 14:30,CDT,5.3
USGS,5357206,6/10/2015 14:45,CDT,5.3
USGS,5357206,6/10/2015 15:00,CDT,5.3
USGS,5357206,6/10/2015 15:15,CDT,5.3
USGS,5357206,6/10/2015 15:30,CDT,5.3
USGS,5357206,6/10/2015 15:45,CDT,5.3
USGS,5357206,6/10/2015 16:00,CDT,5.3
USGS,5357206,6/10/2015 16:15,CDT,5.1
USGS,5357206,6/10/2015 16:30,CDT,5.1
USGS,5357206,6/10/2015 16:45,CDT,5.1
USGS,5357206,6/10/2015 17:00,CDT,5.1
USGS,5357206,6/10/2015 17:15,CDT,5.1
USGS,5357206,6/10/2015 17:30,CDT,5.1
USGS,5357206,6/10/2015 17:45,CDT,5.1
USGS,5357206,6/10/2015 18:00,CDT,5.1
USGS,5357206,6/10/2015 18:15,CDT,4.9
USGS,5357206,6/10/2015 18:30,CDT,4.9
USGS,5357206,6/10/2015 18:45,CDT,4.9
USGS,5357206,6/10/2015 19:00,CDT,4.9
USGS,5357206,6/10/2015 19:15,CDT,4.9
USGS,5357206,6/10/2015 19:30,CDT,4.9
USGS,5357206,6/10/2015 19:45,CDT,4.9
USGS,5357206,6/10/2015 20:00,CDT,4.9
USGS,5357206,6/10/2015 20:15,CDT,4.9
USGS,5357206,6/10/2015 20:30,CDT,4.8
USGS,5357206,6/10/2015 20:45,CDT,4.9
USGS,5357206,6/10/2015 21:00,CDT,4.8
USGS,5357206,6/10/2015 21:15,CDT,4.8
USGS,5357206,6/10/2015 21:30,CDT,4.8
USGS,5357206,6/10/2015 21:45,CDT,4.8
USGS,5357206,6/10/2015 22:00,CDT,4.8
USGS,5357206,6/10/2015 22:15,CDT,4.8
USGS,5357206,6/10/2015 22:30,CDT,4.8
USGS,5357206,6/10/2015 22:45,CDT,4.8
USGS,5357206,6/10/2015 23:00,CDT,4.8
USGS,5357206,6/10/2015 23:15,CDT,4.8
USGS,5357206,6/10/2015 23:30,CDT,4.8
USGS,5357206,6/10/2015 23:45,CDT,4.8
USGS,5357206,6/11/2015 0:00,CDT,4.6
USGS,5357206,6/11/2015 0:15,CDT,4.6
USGS,5357206,6/11/2015 0:30,CDT,4.6
USGS,5357206,6/11/2015 0:45,CDT,4.6
USGS,5357206,6/11/2015 1:00,CDT,4.6
USGS,5357206,6/11/2015 1:15,CDT,4.6
USGS,5357206,6/11/2015 1:30,CDT,4.6
USGS,5357206,6/11/2015 1:45,CDT,4.4
USGS,5357206,6/11/2015 2:00,CDT,4.4
USGS,5357206,6/11/2015 2:15,CDT,4.4
USGS,5357206,6/11/2015 2:30,CDT,4.4
USGS,5357206,6/11/2015 2:45,CDT,4.4
USGS,5357206,6/11/2015 3:00,CDT,4.4
USGS,5357206,6/11/2015 3:15,CDT,4.4
USGS,5357206,6/11/2015 3:30,CDT,4.4
USGS,5357206,6/11/2015 3:45,CDT,4.4
USGS,5357206,6/11/2015 4:00,CDT,4.4
USGS,5357206,6/11/2015 4:15,CDT,4.4
USGS,5357206,6/11/2015 4:30,CDT,4.4
USGS,5357206,6/11/2015 4:45,CDT,4.3
USGS,5357206,6/11/2015 5:00,CDT,4.4
USGS,5357206,6/11/2015 5:15,CDT,4.4
USGS,5357206,6/11/2015 5:30,CDT,4.3
USGS,5357206,6/11/2015 5:45,CDT,4.3
USGS,5357206,6/11/2015 6:00,CDT,4.3
USGS,5357206,6/11/2015 6:15,CDT,4.3
USGS,5357206,6/11/2015 6:30,CDT,4.3
USGS,5357206,6/11/2015 6:45,CDT,4.3
USGS,5357206,6/11/2015 7:00,CDT,4.3
USGS,5357206,6/11/2015 7:15,CDT,4.3
USGS,5357206,6/11/2015 7:30,CDT,4.3
USGS,5357206,6/11/2015 7:45,CDT,4.3
USGS,5357206,6/11/2015 8:00,CDT,4.3
USGS,5357206,6/11/2015 8:15,CDT,4.3
USGS,5357206,6/11/2015 8:30,CDT,4.3
USGS,5357206,6/11/2015 8:45,CDT,4.3
USGS,5357206,6/11/2015 9:00,CDT,4.3
USGS,5357206,6/11/2015 9:15,CDT,4.3
USGS,5357206,6/11/2015 9:30,CDT,4.3
USGS,5357206,6/11/2015 9:45,CDT,4.3
USGS,5357206,6/11/2015 10:00,CDT,4.3
USGS,5357206,6/11/2015 10:15,CDT,4.3
USGS,5357206,6/11/2015 10:30,CDT,4.3
USGS,5357206,6/11/2015 10:45,CDT,4.3
USGS,5357206,6/11/2015 11:00,CDT,4.3
USGS,5357206,6/11/2015 11:15,CDT,4.3
USGS,5357206,6/11/2015 11:30,CDT,4.3
USGS,5357206,6/11/2015 11:45,CDT,4.3
USGS,5357206,6/11/2015 12:00,CDT,4.3
USGS,5357206,6/11/2015 12:15,CDT,4.3
USGS,5357206,6/11/2015 12:30,CDT,4.3
USGS,5357206,6/11/2015 12:45,CDT,4.3
USGS,5357206,6/11/2015 13:00,CDT,4.3
USGS,5357206,6/11/2015 13:15,CDT,4.3
USGS,5357206,6/11/2015 13:30,CDT,4.3
USGS,5357206,6/11/2015 13:45,CDT,4.1
USGS,5357206,6/11/2015 14:00,CDT,4.3
USGS,5357206,6/11/2015 14:15,CDT,4.1
USGS,5357206,6/11/2015 14:30,CDT,4.3
USGS,5357206,6/11/2015 14:45,CDT,4.3
USGS,5357206,6/11/2015 15:00,CDT,4.3
USGS,5357206,6/11/2015 15:15,CDT,4.1
USGS,5357206,6/11/2015 15:30,CDT,4.3
USGS,5357206,6/11/2015 15:45,CDT,4.1
USGS,5357206,6/11/2015 16:00,CDT,4.1
USGS,5357206,6/11/2015 16:15,CDT,4.3
USGS,5357206,6/11/2015 16:30,CDT,4.3
USGS,5357206,6/11/2015 16:45,CDT,4.1
USGS,5357206,6/11/2015 17:00,CDT,4.1
USGS,5357206,6/11/2015 17:15,CDT,4.1
USGS,5357206,6/11/2015 17:30,CDT,4.1
USGS,5357206,6/11/2015 17:45,CDT,4.1
